[GIN] 2023/03/06 - 21:08:32 | 200 |        38.8µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        39.9µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        60.7µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |      74.501µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        61.5µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        36.7µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |        40.5µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:32 | 200 |      34.901µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |        40.5µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |        53.6µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |        39.8µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |      61.301µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |        30.6µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |      37.801µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |        37.6µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |          58µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |      65.201µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |      42.801µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |        41.1µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |      41.401µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |        39.8µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |        40.8µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |        42.4µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |      45.801µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |        44.7µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |        45.5µs |     94.1.65.222 | GET      "/health"
[GIN] 2023/03/06 - 21:08:33 | 200 |     522.102µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:33 | 200 |     3.70332ms |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:33 | 200 |     421.102µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     474.402µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     697.303µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     384.902µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     399.502µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     368.102µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     462.903µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     477.903µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     500.003µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     418.402µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     547.403µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     407.002µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     390.602µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     503.903µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     472.002µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     454.703µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     460.203µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     412.302µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     551.103µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     460.002µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     482.202µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:34 | 200 |     439.502µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     438.802µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     455.502µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     427.602µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     483.902µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     706.703µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     471.702µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     434.802µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     460.603µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     426.202µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     494.602µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     343.301µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     434.502µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     537.303µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     691.604µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     479.503µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     460.102µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     414.402µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     449.003µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     385.002µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:35 | 200 |     490.703µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:36 | 200 |     362.902µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:36 | 200 |     396.002µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:36 | 200 |     422.802µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:36 | 200 |     480.202µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:36 | 200 |     442.702µs |     94.1.65.222 | GET      "/assets"
[GIN] 2023/03/06 - 21:08:36 | 200 |     464.902µs |     94.1.65.222 | GET      "/assets"
